Código ,Nombre,Código ,Nombre,Código ,Nombre,,LATITUD,LONGITUD
05,ANTIOQUIA,05129,CALDAS,05129012,LA VALERIA,CP,6.0933816529999998,-75.647988436000006
05,ANTIOQUIA,05129,CALDAS,05129013,LA AGUACATALA,CP,6.1034937280000001,-75.643154143000004
05,ANTIOQUIA,05129,CALDAS,05129015,LA CHUSCALA,CP,6.0828838899999997,-75.639578933999999
05,ANTIOQUIA,05129,CALDAS,05129016,SALINAS,CP,6.0558346219999999,-75.660185304999999
05,ANTIOQUIA,05134,CAMPAMENTO,05134000,CAMPAMENTO,CM,6.9797756580000003,-75.298084623999998
05,ANTIOQUIA,05134,CAMPAMENTO,05134001,LA CHIQUITA,CP,6.9715799570000003,-75.263683
05,ANTIOQUIA,05134,CAMPAMENTO,05134002,LA SOLITA,CP,7.0585254910000002,-75.277261679999995
05,ANTIOQUIA,05134,CAMPAMENTO,05134003,LLANADAS,CP,7.039036318,-75.272434537999999
05,ANTIOQUIA,05138,CAÑASGORDAS,05138000,CAÑASGORDAS,CM,6.7594776850000002,-76.032209942999998
05,ANTIOQUIA,05138,CAÑASGORDAS,05138001,BUENOS AIRES - PARTE ALTA,CP,6.7261955039999997,-76.009653181000004
05,ANTIOQUIA,05138,CAÑASGORDAS,05138002,CESTILLAL,CP,6.8531622710000004,-76.073631589000001
05,ANTIOQUIA,05138,CAÑASGORDAS,05138003,JUNTAS DE URAMITA,CP,6.9213049599999996,-76.031369287000004
05,ANTIOQUIA,05138,CAÑASGORDAS,05138005,SAN PASCUAL,CP,6.8466491869999997,-76.047420423999995
05,ANTIOQUIA,05138,CAÑASGORDAS,05138009,VILLA VICTORIA,CP,6.9261340120000003,-76.028145097999996
05,ANTIOQUIA,05142,CARACOLÍ,05142000,CARACOLÍ,CM,6.4098292729999997,-74.757420723999999
05,ANTIOQUIA,05145,CARAMANTA,05145000,CARAMANTA,CM,5.5485304040000001,-75.643868452999996
05,ANTIOQUIA,05145,CARAMANTA,05145001,ALEGRÍAS,CP,5.5463198230000001,-75.607311714999994
05,ANTIOQUIA,05145,CARAMANTA,05145002,SUCRE,CP,5.5797880199999996,-75.606616157000005
05,ANTIOQUIA,05147,CAREPA,05147000,CAREPA,CM,7.7551599859999998,-76.652997003999999
05,ANTIOQUIA,05147,CAREPA,05147003,PIEDRAS BLANCAS,CP,7.7457797340000001,-76.556228532999995
05,ANTIOQUIA,05147,CAREPA,05147004,ZUNGO EMBARCADERO - PUEBLO NUEVO,CP,7.847151717,-76.739217314000001
05,ANTIOQUIA,05147,CAREPA,05147005,ZUNGO EMBARCADERO - 11 DE NOVIEMBRE,CP,7.8468139810000004,-76.734493283000006
05,ANTIOQUIA,05147,CAREPA,05147006,CASA VERDE,CP,7.7884211460000001,-76.654282486
05,ANTIOQUIA,05147,CAREPA,05147007,EL ENCANTO,CP,7.7489896329999999,-76.710917975000001
05,ANTIOQUIA,05147,CAREPA,05147008,ZUNGO EMBARCADERO - 28 DE OCTUBRE,CP,7.850592915,-76.742764471000001
05,ANTIOQUIA,05147,CAREPA,05147009,BELENCITO,CP,7.8012482749999998,-76.508207141
05,ANTIOQUIA,05147,CAREPA,05147010,BOSQUES DE LOS ALMENDROS,CP,7.7893417380000001,-76.649546365000006
05,ANTIOQUIA,05147,CAREPA,05147011,CAREPITA CANALUNO,CP,7.8312454860000003,-76.754285281999998
05,ANTIOQUIA,05147,CAREPA,05147012,SACRAMENTO LA LUCHA,CP,7.7895983879999999,-76.661045281
05,ANTIOQUIA,05147,CAREPA,05147013,LOS NARANJALES,CP,7.8194636720000004,-76.713210399999994
05,ANTIOQUIA,05147,CAREPA,05147014,VIJAGUAL,CP,7.8140591859999997,-76.704530329999997
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,05148000,EL CARMEN DE VIBORAL,CM,6.0845514439999997,-75.335362458000006
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,05148003,AGUAS CLARAS,CP,6.0730164650000003,-75.377162150000004
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,05148005,LA CHAPA,CP,6.052812308,-75.316889811999999
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,05148006,CAMPO ALEGRE,CP,6.060720163,-75.325395939000003
05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,05148008,LA AURORA - LAS BRISAS,CP,6.0843757370000002,-75.326894108999994
05,ANTIOQUIA,05150,CAROLINA,05150000,CAROLINA DEL PRÍNCIPE,CM,6.7259950719999999,-75.283192006999997
05,ANTIOQUIA,05154,CAUCASIA,05154000,CAUCASIA,CM,7.9773623330000003,-75.198290326999995
05,ANTIOQUIA,05154,CAUCASIA,05154003,CUTURÚ,CP,7.7269923949999999,-74.786966277000005
05,ANTIOQUIA,05154,CAUCASIA,05154006,MARGENTO,CP,8.0358956890000002,-74.953543119000003
05,ANTIOQUIA,05154,CAUCASIA,05154008,PALANCA,CP,8.0097229730000006,-75.022198949
05,ANTIOQUIA,05154,CAUCASIA,05154009,PALOMAR,CP,8.0027576689999993,-74.976344936000004
05,ANTIOQUIA,05154,CAUCASIA,05154012,SANTA ROSITA,CP,7.9216407919999998,-75.325244046999998
05,ANTIOQUIA,05154,CAUCASIA,05154020,PUERTO TRIANA,CP,7.6837653799999996,-74.892952270999999
05,ANTIOQUIA,05154,CAUCASIA,05154022,LA ILUSIÓN,CP,8.0213507899999996,-75.091390868999994
05,ANTIOQUIA,05154,CAUCASIA,05154023,CACERÍ,CP,7.8023635069999999,-74.928558460999994
05,ANTIOQUIA,05154,CAUCASIA,05154024,EL PANDO,CP,7.7934369930000003,-75.069703161000007
05,ANTIOQUIA,05154,CAUCASIA,05154026,EL CHINO,CP,8.0097973049999993,-75.094244232999998
05,ANTIOQUIA,05154,CAUCASIA,05154027,LA ESMERALDA,CP,8.0117894570000008,-75.138112097999993
05,ANTIOQUIA,05154,CAUCASIA,05154031,VILLA DEL SOCORRO,CP,8.0480932949999993,-75.007310220999997
05,ANTIOQUIA,05154,CAUCASIA,05154032,CASERÍO CONJUNTO CAÑA FISTULA,CP,7.9498270199999999,-75.164822108999999
05,ANTIOQUIA,05154,CAUCASIA,05154033,PUEBLO NUEVO,CP,8.0407214539999998,-74.960167780000006
05,ANTIOQUIA,05172,CHIGORODÓ,05172000,CHIGORODÓ,CM,7.6662910259999997,-76.681256164999994
05,ANTIOQUIA,05172,CHIGORODÓ,05172003,BARRANQUILLITA,CP,7.5708499219999998,-76.696849714999999
05,ANTIOQUIA,05172,CHIGORODÓ,05172007,GUAPÁ CARRETERAS,CP,7.556446964,-76.613421391000003
05,ANTIOQUIA,05172,CHIGORODÓ,05172013,JURADÓ,CP,7.5004429000000004,-76.580046631000002
05,ANTIOQUIA,05172,CHIGORODÓ,05172014,CAMPITAS,CP,7.6445934800000002,-76.694898430999999
05,ANTIOQUIA,05172,CHIGORODÓ,05172015,CHAMPITA SECTOR LA GRANJA,CP,7.6492363059999997,-76.684713990999995
05,ANTIOQUIA,05190,CISNEROS,05190000,CISNEROS,CM,6.5378294910000001,-75.087046732999994
05,ANTIOQUIA,05197,COCORNÁ,05197000,COCORNÁ,CM,6.0583063350000002,-75.185481010999993
05,ANTIOQUIA,05197,COCORNÁ,05197005,LA PIÑUELA,CP,6.0111558,-75.141320278999999
05,ANTIOQUIA,05197,COCORNÁ,05197013,EL MOLINO,CP,6.0578153830000003,-75.155222988000006
05,ANTIOQUIA,05206,CONCEPCIÓN,05206000,CONCEPCIÓN,CM,6.3943481130000004,-75.257587199
05,ANTIOQUIA,05209,CONCORDIA,05209000,CONCORDIA,CM,6.0465629600000002,-75.907607335999998
05,ANTIOQUIA,05209,CONCORDIA,05209001,EL SOCORRO,CP,6.1213316730000003,-75.900895817999995
05,ANTIOQUIA,05209,CONCORDIA,05209006,EL GOLPE,CP,6.0068078649999999,-75.841064642999996
05,ANTIOQUIA,05209,CONCORDIA,05209007,SALAZAR,CP,6.0384799899999999,-75.909555284000007
05,ANTIOQUIA,05212,COPACABANA,05212000,COPACABANA,CM,6.3486518260000002,-75.509314114000006
05,ANTIOQUIA,05212,COPACABANA,05212005,EL SALADO,CP,6.3472544930000003,-75.490875416999998
05,ANTIOQUIA,05212,COPACABANA,05212008,CABUYAL,CP,6.3279706930000001,-75.499897044999997
05,ANTIOQUIA,05212,COPACABANA,05212017,EL LLANO,CP,6.3307866370000001,-75.516440093
05,ANTIOQUIA,05234,DABEIBA,05234000,DABEIBA,CM,7.0003219379999999,-76.262976647000002
05,ANTIOQUIA,05234,DABEIBA,05234004,SAN JOSÉ DE URAMA,CP,7.0174901209999998,-76.144688795999997
